resort_name,source,location,last_24hr_snow,prev_1_5_days,prev_6_10_days,prev_11_15_days,next_1_5_days,next_6_10_days,next_11_15_days,latitude,longitude,forecast_updated_at
3 Zinnen (3 Peaks) Dolomites,Ikon,"Bolzano, Italy",0.0,6,6,0,7,1,6,46.7127,12.3641,2026-03-24 13:36:43+00:00
Alpe di Siusi,Ikon,"Bolzano, Italy",0.0,7,14,0,7,0,2,46.5312,11.6258,2026-03-24 12:49:10+00:00
Alpental at Snoqualmie,Ikon,"Washington, United States",0.0,0,4,66,8,8,5,47.4361,-121.4354,2026-03-24 13:32:33+00:00
Alta,Ikon,"Utah, United States",0.0,0,0,0,0,8,6,40.5784,-111.6328,2026-03-24 13:03:37+00:00
Alyeska,Ikon,"Alaska, United States",0.0,12,3,0,0,0,7,60.9604,-149.0908,2026-03-24 12:24:30+00:00
Appi Kogen,Ikon,"Iwate, Japan",0.0,6,1,0,0,0,3,39.9882,140.962,2026-03-24 13:14:08+00:00
Arabba,Ikon,"Belluno, Italy",0.0,4,10,0,10,1,7,46.4842,11.8729,2026-03-24 13:18:16+00:00
Arapahoe Basin,Ikon,"Colorado, United States",0.0,0,4,4,0,2,1,39.6324,-105.871,2026-03-24 13:12:46+00:00
Aspen Highlands,Ikon,"Colorado, United States",0.0,0,1,0,0,3,2,39.1513,-106.8702,2026-03-24 12:42:02+00:00
Aspen Mountain,Ikon,"Colorado, United States",0.0,0,1,0,0,3,2,39.1576,-106.8201,2026-03-24 12:26:13+00:00
Banff Sunshine,Ikon,"Alberta, Canada",0.0,7,10,18,13,5,2,51.0924,-115.7667,2026-03-24 12:30:37+00:00
Bear Mountain,Ikon,"California, United States",,0,0,0,0,0,0,34.2186,-116.8604,2026-03-24 13:50:45+00:00
Big Sky,Ikon,"Montana, United States",0.0,0,13,3,1,5,8,45.2811,-111.4302,2026-03-24 13:36:11+00:00
Blue Mountain,Ikon,"Ontario, Canada",0.0,0,2,4,0,0,0,44.5038,-80.3206,2026-03-24 12:25:09+00:00
Blue Mountain,Ikon,"Pennsylvania, United States",0.0,0,1,0,0,0,0,40.8128,-75.5116,2026-03-24 13:38:07+00:00
Boyne Mountain,Ikon,"Michigan, United States",1.0,3,39,0,0,0,1,45.1625,-84.9375,2026-03-24 12:56:51+00:00
Brighton,Ikon,"Utah, United States",0.0,0,0,0,0,7,5,40.5898,-111.5728,2026-03-24 12:56:16+00:00
